ID,Contract Number,Program Area,Award Year,Project Title,Organization Name,Project Description,Awarded Amount,Pledged Match Amount,Seattle Electoral District,Neighborhood District
4460,B07025,Large Projects Fund,2007,Ballard Corners Park,Groundswell Northwest,This project will construct a multi-purpose neighborhood park on the two adjacent lots between NW 62nd and 63rd St on the west side of 17th Ave NW. Project is also supported by the Pro-Parks Levy.,75000,214093,,Ballard
4414,S07012,Small and Simple Projects Fund,2007,Crossing the Bridge - Uniting Neighborhoods,Fremont Chamber of Commerce,This will be a celebration to recognize the re-opening of the Fremont Bridge.  The intent is to have an event that joins the two communities that have been impacted most by the bridge construction.,10363,11028,,Lake Union
4404,S07002,Small and Simple Projects Fund,2007,Building Community Through Literary Arts,Eleventh Hour Productions,"Capitol Hill community members will produce three days of multi-cultural, inter-generational poetry workshops, readings, panels, and performances in April 2007.  Organizers include neighborhood residents, businesses, arts organizations, and social service organizations.  Through proactive education and engagement, neighbors from different racial, religious, ethnic and social backgrounds will gain mutual respect and understanding.",15000,66400,,East
4405,S07003,Small and Simple Projects Fund,2007,Hillman City Centennial Time Capsule,Rainier Valley Historical Society,"The Rainier Valley Historical Society will engage neighbors, businesses, and students to work with them  to create a time capsule to celebrate the centennial of Hillman City's annexation to Seattle in 1907.  The capsule will include photographs, artifacts, documents, and stories that reflect Hillman City's past and present and future.  It will be installed in the neighborhood, with instructions for opening it in 2057.",4500,6030,,Southeast
4981,O08032,Small Sparks,2008,othelloneighborhood.org,Othello Neighborhood Association,Othello Neighborhood Website is already up and running.  7 neighborhood groups provide information to the webmaster to post activities and efforts of the groups.  The fund will be used to hire a consultant to train the leaders of the groups to input and maintain their own webpages.,250,810,,Southeast
4407,S07005,Race Relations and Social Justice,2007,Taiwanese American Heritage Week (TAHW) in Seattle,Taiwanese American Heritage Week Planning Committee,"The third week of May 2007 will be designated as Taiwanese American Heritage Week  in Seattle.  To celebrate the uniqueness and to recognize the contributions of the Taiwanese American community in Seattle, a series of cultural events are planned that include cultural exhibitions  folk music, folk dance and historical film presentations.  This project will be accomplished through the combined efforts of an intergenerational team of volunteers representing elders, youth, University of Washinigton Students and the Seattle Taiwanese Communty Center.   Outcomes:  Community awareness of Taiwanese American Heritage will be greatly enhanced; Elders will be able to share familiar cultural activities with a new generation;  The contributions of the Taiwanese American community in Seattle will be recognized and celebrated; The spirit of volunteering will be encouraged and supported.",10000,10000,,Northeast
4408,S07006,Small and Simple Projects Fund,2007,Van Asselt Playground,Seattle Public Schools,"This project will develop a new play structure for school and community use. Community building elements: the project will involve students, parents and the community to plan, and build the playground and develop a stewarship of the project.  Product: new playground structure. Compleate drainage and border ramp for playground.",15000,19290,,Greater Duwamish
4409,S07007,Small and Simple Projects Fund,2007,Secondary Work Study Internships,Successful Schools in Action,Eighth through twelfth grade students from McClure Middle School and the Secondary Bilingual Orientation Center will be matched with ten or more neighborhood businesses and organizations to participate as work study students or interns.  Students will gain real world experience through collaborative school and community partnerships.  Youth participants will be surveyed at the start and end of this pilot project to measure gain in real life work skills.,11000,14500,,Magnolia/QA
4410,S07008,Small and Simple Projects Fund,2007,Hanford Steps Improvement Project - Stage I: Planning and Design,Starkey's Orchard Neighborhood Group,"The Starkey’s Orchard Neighborhood Group will design improvements to the attractiveness of the Handford Steps area, the improvements will include increasing stairway lighting, drainage and leaf overflow onto stairs, to increase pedestrian and creating a welcoming, safe and attractive pass-through the neighborhood.



Community Building: project will create alliances with local businesses, schools, nonprofit organizations, neighborhoods who normally do not participate in community activities to attend public meetings, work parties to participate in planning process.



Outcomes: Establish a steering committee; produce construction documents for physical improvement and maintenance plan for the stairs.",10545,5910,,Greater Duwamish
4411,S07009,Small and Simple Projects Fund,2007,Youth Stakeholders,Seattle Hip Hop Summit Action Network Youth Council,"The Seattle Hip Hop Summit Action Network Youth Council will address the rising youth gun violdence in Central and South Seattle neighborhoods.  The project will organize Youth Improvement Councils in Central, South and West Seattle and conduct youth focus groups and empowerment activities that redirect their opportunities for success and personal development.",15000,24775,,Central
4432,S07030,Small and Simple Projects Fund,2007,Culturally Responsive Transitions,Friends of FAME Head Start Policy/Parent Committees,"The Friends of FAME Head Start Policy and Parent Committees will create a series of culturally responsive transition ""fairs""  with Head Start families at FAME, T.T. Minor and Emerson that will encourage participation and diversity in the PTA's and advocate for culturally relevant services.",11590,29555,,Southeast
4413,S07011,Race Relations and Social Justice,2007,Homeless Place of Remembrance,Homeless Place of Remembrance Committee,"The Homeless Place of Remembrance will be a gathering place, located in Victor Steinbrueck Park, intended to remember and honor homeless people who have died in King County. NMF Small and Simple funds will be used for the conceptual design process.",15000,16553,,Downtown
4415,S07013,Race Relations and Social Justice,2007,The Oaxacan Youth Band,Banda Gozona,"Seattle's Banda Gozona will be paid to perform and teach recent secondary school immigrant youth at the Bilingual Orientation Center to learn to play the traditional music of Oaxaca, Mexico in a 12-week afterschool program.  Volunteer music students from Seattle Pacific University will provide additional individual music instruction.  The BOC youth will perform with Banda Gozona at a BOC school assembly and on Youth Focus Day at Folklife Festival.",3750,4468,,Magnolia/QA
4417,S07015,Small and Simple Projects Fund,2007,Lake Union Urban Watertrail Enhancement,Center for Wooden Boats,"This project will enhance access to Lake Union for small craft.  We will design and publish a free map for paddlers and rowers that highlights Lake Union's historic, natural and cultural resources.  We will also add 18 transient kayak moorage spots at South Lake Union Park and The Center for Wooden Boats.",9720,10995,,Lake Union
4418,S07016,Small and Simple Projects Fund,2007,Community Fruit Tree Harvest,Community Fruit Tree Harvest Project,"Organized teams of community members will harvest fruit from neighborhood trees that would otherwise go to waste.  This  fresh, locally grown fruit will be shared with  low-income residents in the community.   New and lasting relationships will be forged across racial, age and socio-economic lines;  A valuable resource that would otherwise go to waste will be captured and shared and nutrition will be improved among limited income comuunity members. This will also help foster the concept of stewardship of one's local natural environment.",8000,8302,,Lake Union
4936,S08128,Small and Simple Projects Fund,2008,Seward Park Trails Master Plan,The Friends of Seward Park,"Friends of Seward Park will hire a consultant to create, together with the community, a master plan for the trails in Seward Park.  It would include planning for increased usage from Seward Park Environmental & Audubon Center programs, new trails, trail maintenance, trail aesthetics, accessibility, signage, and protection of habitat.",15000,8295,,Southeast
4419,S07017,Race Relations and Social Justice,2007,Bailadores de Bronce Enhancement Program,Sea Mar Community Health Centers,"Bailadores de Bronce is a Mexican Folkloric dance group that was established in 1972.  Its mission is to share Mexican traditions, music, and dance with the communites of the Pacific NW.  Bailadores de Bronce is composed of volunteers. The folk dance group will use this project to enhance their mission and programs, restructure their Board of Directors, obtain leadership training, achieve a 501-C-3 status, increase their youth membership and secure practice space for the group.



Outcomes: increase youth membership by 25%, achieve a 501-C-3 status; acquire practice equipment and secure practice space for the group.",15000,33116,,North
4420,S07018,Race Relations and Social Justice,2007,"The African Conexion Presents ""Callejon"" (The Alley)",Associated Recreation Council,"The Afican Conexion, a consortium of black and latino organizations and individuals, will produce and present ""The African Callejon"" a bilingual staged musical reading that explores issues of race and class using the setting of a Callejon - or neighborhood gathering place in the Afican and Peruvian cultures.",15000,10475,,Southeast
4421,S07019,Race Relations and Social Justice,2007,Langston Hughes African American Film Festival,Friends of Langston Hughes African American Film Festival,"The Friends of the Langston Hughes African American Film Festival is sponsoring a nine-day festival of dynamic cinema that is by, for and about people of the African and African American Diaspora.  Most of the films will offer inspiration, contemplation and rich community dialogue.  Each film will offer the perspective of the filmmaker via interview and dialogue with the audience.  The festival outcomes will include: more general exposure to the black experience, face-to-face interaction with the image-maker, and deepening the exposure and purpose of the Langston Hughes facility.",12000,7250,,Central
4422,S07020,Small and Simple Projects Fund,2007,West Edge Chalk Walk,Downtown Seattle Association,"This project is a one-day event designed to continue the West Edge community's efforts to identify the West Edge as an artistic neighborhood, bring increased pedestrian traffic and build community involvement.  The event features elaborate professional and amateur sidewalk chalk art and includes other interactive art activities like live music and artist demonstrations.",10000,23715,,Downtown
4423,S07021,Small and Simple Projects Fund,2007,Rainier Beach Community Fair,Rainier Beach Merchants Association,"The Rainier Beach Merchants Association will sponsor the ""Rainier Beach Summer Hummer"" during Summer 2007 that will attract residents and visitors into the business district for a very special day of connection and fun.  Featured will be live entertainment, a fun area for kids, a community flea market. an event guide and free transportation.",15000,10500,,Southeast
4424,S07022,Small and Simple Projects Fund,2007,Dreamgirls,Broadway Bound Children's Theatre,"The Broadway Bound Children's Theater and memjbers of the Rainier Beach community will produce a full production of the musical Dreamgirls.  The exclusively teen cast will receive high school credits, student stipends, new job skills, dropout prevention and positive self-discovery.",15000,119500,,Southeast
4425,S07023,Small and Simple Projects Fund,2007,Women of the World Swim,Parents for Student Success,The Somali Women's Organization will provide a unique chance for East African/Muslim women and girls to maintain their religious beliefs and cultural customs and gain access to customized fitness classes and water safety instruction in public pools in SE and SW Seattle.  The outcomes will include helping to  prevent injury and drowning around bodies of water; building the self-esteem of the participants; and inspiring other females within the culture to also seek alternatives to traditional swim instruction and water safety.,5742,6875,,Southeast
4427,S07025,Small and Simple Projects Fund,2007,"Delridge Day, Resource Fair and Park Dedication",Delridge Neighborhoods Development Association,"Delridge Day, Resource Fair and Park Dedication will be a festive, family-oriented celebration on Saturday, May 19, 2007.  The North Delridge Council will bring the community together to celebrate, share housing and environmental resources and dedicate a new park in their neighborhood.",5545,6245,,Delridge
4412,S07010,Small and Simple Projects Fund,2007,Museum without Walls,University Chamber of Commerce,"The University District has a rich and diverse legacy.  This project will identify those who shaped the community and bring their stories to life through art, in the form of a walking ""Museum without Walls.""  The “museum” will appear in various locations throughout the University District.  The art work will be a diverse representation of exhibits, performances, perhaps even sculptures.  The locations will be identified after the community process has been completed and the exhibits have been chosen.  This effort will reach out to and involve seniors, homeless youth, UW students, residents and businesses.  A project manager, working with the community, will select the first exhibit, and develop a working plan to complete the project.  

Outcomes:  Identification and celebration of the rich and diverse legacy of the University District; Increased respect for the buildings, landmarks and significant events that are part of University district history;  Stronger links between the campus community, homeless youth and other residents.",15000,18170,,Northeast
4510,S07064,Small and Simple Projects Fund,2007,Bergen Place Park Enhancement,Nordic Heritage Museum,This project proposes installation of six 25-ft flagpoles to display the US flag and the flags of the five Nordic countries and a natural stone marker on which to engrave the park name.  These design elements will clearly identify the origins of Bergen Place Park and honor the community's heritage.,4375,5538,,Ballard
4495,S07049,Small and Simple Projects Fund,2007,Colman Park P-patch Water System Replacement,Colman Park P-Patchers,"The Colman P-Patch will install a new irrigation sytem which will stabilize the site and increase productivity.  Outcomes includes:

Develop a reliable water supply that will save the City money in water lost to leaks.

Increase a sense of community among the Colman Park P-Patch community.

Develop new leaders from the community who will take a more active role in improving and maintaining the P-Patch and Colman Park.",1788,1815,,Southeast
4496,S07050,Small and Simple Projects Fund,2007,Dearborn Park Elementary Playground,Friends of Dearborn Park Playground,"The Friends of Dearborn Park Playground together with Free Coalition for Kids and Allstate Insurance will install a new play structure in the school.  Recently the schools merge with Whitworth Elementary and this project will offer an opportunity to organize activities that build community among parents and students from both schools by improving the school playground as well as forging friendships and bonds which could last for years to come.



Outcomes: infrastructure and site preparation for a new playground, preparation includes: excavation, drainage, curb border, fencing and ADA ramp for the site.",15000,66500,,Greater Duwamish
4498,S07052,Small and Simple Projects Fund,2007,NewHolly Pedestrian and Traffic Safety,Seattle Housing Authority,"This project would create multi-lingual and cross-cultural safety signs and workshops to help build community around a common area of interest, as well as improve the safety of our neighborhood.  Outcomes: A traffic safety workshop, a sign design charette meeting for the neighborhood, coordination and installation of new multi-lingual and cross-cultural traffic signs in the neighborhood.",15000,14700,,Greater Duwamish
4499,S07053,Race Relations and Social Justice,2007,Trans Awareness Week,Trans Awareness Week Group,"The Transgender community is characterized at this time by a sense of personal and community isolation.  We want to create a week-long series of events with accompanying banners to build a higher profile for our community and to enhance the quality of life for transgender people in Seattle.

Outcomes:  Increase visibility and presence of Transgender community.  Increase opportunities to learn about Transgender community.  Improve the awareness and support for the Transgender community",15000,25070,,East
4500,S07054,Small and Simple Projects Fund,2007,Welcoming and Learning Spaces Improvement Project - Beacon Hill Elementary,Beacon Hill Elementary PTA,"The Beacon Hill Elementary PTSA will install benches, garbage disposal units, landscaping and bike racks to increase efficient use of space and improve aesthetic appeal to exterior space at the entryway of the school.  A mural project that speaks to the diverse student population at the school and throughout the community will be installed in the interior of the school and will invite students and their families to collaborate on the project.",15000,15685,,Greater Duwamish
4503,S07057,Small and Simple Projects Fund,2007,Northeast Queen Anne Greenbelt - Trails and Reforestation Plan,P-Patch Trust,"Friends of Northeast Queen Anne Parks will participate in design workshops with a landscape architect to create a plan and concept design for passive public use of the 17-acre Northeast Queen Anne Greenbelt and a plan for use of the newly acquired property on the north side of MacLean Park. The participants will examine the potential for pedestrian trails, wetland walkway,  invasives removal and native plant restoration, and road demolition and terracing for the MacLean Park addition.  Volunteers will conduct a selection process for a Landscape Architect, implement an outreach strategy to local groups and schools to recruit new participants, hold 3 design meetings and 2 tours of the site, produce and distribute 3 newsletters to 3,300 households, and coordinate with the LA production of a plan, concept design, and 50% construction drawings.",15000,11530,,Magnolia/QA
4494,S07048,Small and Simple Projects Fund,2007,Garden Gathering Place,Inter*Im Community Development Association,"This project will create a highly visible gathering place for community members on the front slopes of the Danny Woo Garden.  By replacing the overgrowth, fixing the walls, and adding landscape we will encourage more visitors.  The project will add seating, play structures, a watering station, and a community mural.",15000,85600,,Downtown
4509,S07063,Small and Simple Projects Fund,2007,The Water Exploration Zone - Stage 1 Planning and Design,Jefferson Park Alliance,The Jefferson Park Alliance and the Beacon Mountain Playground Team will create a water spray plaza called the Water Exploration Zone that will bring many children and families together from the community.,15000,9890,,Greater Duwamish
4511,S07065,Race Relations and Social Justice,2007,Independent South Asian Film Festival (ISAFF),Ragamala,"ISAFF 2007 is a five-day festival of South Asian independent films, workshops, and forums.  The objective is to encourage cross-cultural solidarity, respect and understanding through an exploration of cinematic representation of the cultural, social, political and global issues concerning South Asia.

Outcomes:  Promote cross cultural solidarity, respect and understanding of South Asian issues; Increase dialogue on issues of race, ethnicity and social justice; Improve community awareness of social, political and economic injustice.",15000,13745,,East
4512,S07066,Race Relations and Social Justice,2007,MESA Men,Seattle MESA,"The Seattle MESA project will  provide positive alternatives to youth violence through academic success, mentoring, and leadership Rainier Beach High School 9th graders.  The program will also feature after-school tutoring,  mentoring, leadership training, and outreach to elementary students.",15000,27660,,Southeast
4513,S07067,Race Relations and Social Justice,2007,Rainier Valley Youth,Central House,Central House will work with Ranier Beach teens in the Lake Washington Apartments on issues of climate protection and emergency preparedness.  The youth will conduct research and learn how to help the community become more aware of these important issues.,15000,8400,,Southeast
4514,S07068,Race Relations and Social Justice,2007,Hip Hop and Debate,Seattle Debate Foundation,The Seattle Debate Foundation will assist underserved youth in the Rainier Beach community through empowering them to learn ways of expression via hip-hop and formal public debate.  Participants will focus on the issues of the day that impact their day-to-day lives.,15000,9800,,Southeast
4524,O07006,Small Sparks,2007,Bike Fiesta,Unknown,Neighbors are planning a neighborhood Bike Decorating and Bike Parade event through South Park’s community.,250,2085,,Greater Duwamish
4426,S07024,Race Relations and Social Justice,2007,"Queen Anne Youth Rhythms of Unity, Creative Expression and Cultural Immersion - Rueda Dance Afterschool Program",Seattle Rueda Dance Committee,"The  Seattle Rueda Dance Group and the Academy of Cuban Folklore and Dance will collaborate with the Queen Anne Friends of John Hay to bring secondary students at the Bilingual Orientation Center and from the surrounding Queen Anne community the opportunity to learn and perform Cuban dance and percussion music.  Members of Rueda Dance Group will be paid to teach BOC students after school twice per week for 10 weeks.  Percussion instruments; dance costumes and supplies; movable stage wall and communication equipment will be purchased. The BOC will provide studio space and storage space for the instruments, stage wall, and communication equipment.  The youth and   Dance Group members will perform on Youth Focus Day at the Folklife Festival in May.",13035,6700,,Magnolia/QA
4528,S07073,Small and Simple Projects Fund,2007,Vietnamese Parent Involvement,Vietnamese Friendship Association,"The Vietnamese Friendship Association, in partnership with Chief Sealth High School, the Office of Family and Community Partnerships, and South Seattle Community College, will actively engage Vietnamese parents through workshops, discussions and events to increase parental involvement  and increase student's academic achievement.",30000,19590,,Southeast
4526,O07007,Small Sparks,2007,Sin is the name of the Zine,Unknown,"The project organizers will be working with youth from PSKS as well as other homeless youth from Broadway, Cal Anderson Park, etc, in an effort to get training and to channel their talent into literary workshops by encouraging their poetry used in their everyday life and link the experience through a magazine as well as public forums.  With the endorsement of the residential and business community, the project will bridge the gap of misunderstandings and stereotypes associated with homelessness and youth. 

Outcomes:

o Outcome to bring together the homeless youth community with business and residents.

o The magazine will be the legacy of the homeless poetry to the community.",250,200,,East
4527,S07072,Small and Simple Projects Fund,2007,Southeast Seattle Community Youth Orchestra,Northwest Folklife,Rainier Beach High School PTSA will  form the core of a Southeast Seattle Community Youth Orchestra (K-12) that will offer youth first-hand opportunities to learn to play an instrument with their peers and improve  limited access to the arts and increase their academic achievement.,29516,23780,,Southeast
4507,S07061,Small and Simple Projects Fund,2007,Tri-court Landscape Garden Renovation,Tri-Court Resident Council,"This project is the first step of a comprehensive program to make flower and vegetable gardening safer, easier, and more available to Tri-Court residents and to create an attractive gathering space for the community.  Activities include a community clean up, purchase and instllation of a  tool shed, new lattice, planters, hose system, top soil and plants.  Outcomes include: beautifying the property, fostering neighborhood ties, bringing together residents of Tri-Court, and establishing good working relationships between residents and Seattle Housing Authority management.",7040,12008,,Northwest
4465,B07030,Large Projects Fund,2007,"Colonnade Mountain Bike Course, Phase 2",Backcountry Bicycle Trails Club,This project will complete the entire mountain bike trails project at the Colonnade Mountain Bike Park. The outcome will be a new facility to be constructed and used by neighbors and bicycle enthusiasts from the surrounding area. Youth will be involved in the design and construction process.,74996,74996,,Lake Union
4467,B07032,Large Projects Fund,2007,Denny Park Improvement,Seattle Parks Foundation,This project will move the Denny Park revitalization project forward into a new phase of design development and the implementation of the vision to revitalize the park as a neighborhood gathering place.  Outcomes include:  Landscape Architect will produce design development drawings and community will continue with fundraising and outreach.,75000,9000,,Lake Union
4508,S07062,Small and Simple Projects Fund,2007,White Center Music Nights,White Center Arts Alliance,"This project will present a free four-part series of world music which would encourage economic and community growth, as well as stimulate improvement needs and displace negative activity.  Music Nights was developed to encourage bridges within the diverse community, as well as the wider population.",15000,11925,,Delridge
4470,B07035,Large Projects Fund,2007,Raising Awareness and Creating Equity (RACE),Nonprofit Assistance Center,"This project will increase relationships, leadership and civic participation among people of color, including immigrant and refugee communities in SE Seattle, create a training curriculum and build upon emerging work at the Nonprofit Assistance Center (NAC) to more effectively support racial justice work in Seattle.",75000,38000,,Southeast
4471,O07002,Outreach,2007,South Lake Union Chamber of Commerce Membership Expansion,South Lake Union Chamber of Commerce,"In response to the enormous changes that have taken place recently in the South Lake Union neighborhood, the newly formed Chamber of Commerce is launching a membership drive.  With the recent influx of residents and new businesses, the opportunity exists to develop a thriving and diverse economic core that enhances  the vitality and quality of life of the South Lake Union area.  Businesses of all sizes as well as nonprofit organizations will be encouraged to join.  The outreach campaign includes the creation and printing of new brochures, the development of a logo, letterhead and membership stickers, and a spring membership event.  Outcomes:  Development of a brand logo and sense of identity; solicitation of at least 50 new members; and the planning and implementation of a membership kick-off event in the spring.",750,3000,,Lake Union
4475,O07004,Small Sparks,2007,Tarzans of the Jungle,Unknown,Neighbors will have a work party to remove ivy and plant trees in Lewis Park.,250,3200,,Greater Duwamish
4477,O07005,Outreach,2007,Green Foot Prints,Unknown,"The goal is to launch a new neighborhood association on east Capitol Hill, from 23rd Avenue East to the Arboretum.  Twelve to fifteen volunteers will canvas and deliver “needs assessment” surveys.  A neighborhood organization will be developed to address the issues of concern identified from the surveys.  A community-wide event will be held at the Miller Community Center to discuss the findings and priorities of the neighborhood.  Volunteers will be recruited to serve on the executive board and the committees.



Outcomes:  

• Community needs assessment.

• Core group of committed volunteers to accomplish outreach and initial planning.

• Community-wide event to address neighborhood priorities.

• Launching of a new neighborhood organization.",475,920,,East
4478,S07032,Small and Simple Projects Fund,2007,Picardo P-patch Composting Toilet,Picardo Farm P-Patch,"A year-round composting toilet will be installed at the Picardo P-Patch.  Beyond its obvious purpose, it will serve as a demonstration of a waterless composting facility and  be an educational tool for schools and organizations in community agriculture, conservation and ecology.",15000,17086,,Northeast
4479,S07033,Small and Simple Projects Fund,2007,Day Street Viewpoint,Mt Baker Community Club,"The Day Street Viewpoint Project will become a new public viewpoint in the Mt. Baker Ridge neighborhood.  Neighbors will create a gathering space that features native plants, and ornamental rocks as informal seating areas. There will be outstanding views of the Olympic Mountains, Downtown Seattle, and Elliott Bay.",11000,12250,,Southeast
4480,S07034,Small and Simple Projects Fund,2007,Orchard Street Ravine Restoration,Department of Parks and Recreation,"The friends of Orchard Street Ravine will restore an overgrown ravine area to its natural habitat and will provide a green space for neighborhood enjoyment and education. Upon completion of the project, neighbors will be able to move between their local neighborhoods and enjoy the natural green space and gain a greater understanding of the importance of habitat restoration.

Outcomes:

General weeds removal, planting native species, controlling noxious weeds and watering new plants 

6 work parties will be organized during the length of the project.",11000,11380,,Southwest
4474,O07003,Outreach,2007,Building a Khmer Community in High Point,Delridge Neighborhoods Development Association,"The purpose of this project is to increase the membership of the New High Point Khmer Association, an association of Cambodian residents living in the High Point housing development in West Seattle.  The goal of the group is to provide community input and contribute to the betterment of the High Point neighborhood in terms of policy, decision making and other activities.  They want to be a group that other organizations contact if there is something they want disseminated within the Cambodian community in High Point.  They also want to engage Cambodian youth and teach them about the Khmer culture, values, and language.  The Outreach Fund will be used to: design and print flyers, membership cards, a banner; advertise on Cambodian radio and newspapers; rent a karaoke machine to attract residents; hold community gatherings to engage other community residents in the plans and activities of the New High Point Khmer Association; and apply for tax-exempt, nonprofit organization status.   They hope to recruit 30 new members throughout the year.",750,1725,,Delridge
4488,S07042,Race Relations and Social Justice,2007,Dance for Peace,Northwest SHARE,"Volunteers of Northwest SHARE, with participation from the West Seattle community, will host a unique ""Dance For Peace"" event at Alki Beach on Aug 5, 2007.  The event will  bring together Seattle's diverse ethnic dance and drumming groups for the purpose of promoting peace and social harmony.  Alternate dance techniques from different world cultures will be presented to an expected audience of about 600; the event is free to the public.  Outcomes:  A multicultural event that can be enjoyed by the entire family; increased understanding of diverse world cultures; bringing together people of different backgrounds to work collectively for peace;  reduction of racial intolerance; promotion of brotherhood and good will among neighborhood residents.",7476,10895,,Southwest
4489,S07043,Race Relations and Social Justice,2007,MoLE - Movimiento Latino por la Educacion,Southwest Youth and Family Services,"Voces Latinas will develop and implement a Mentoring Program designated for 20 bilingual migrant students from the West Seattle High School. The project will involve community members from different sectors like school, district and the community at large to train eight mentors that in turn will help students to achieve their goals in education.

Outcomes: 

20 bilingual students grade 9th will be matched with mentors to work on a planned curriculum to prepare their student portfolio. At the end of the project the students will have a portfolio with the following information:

Students goals and their accomplishments

Resource list from the school, including attendance, teacher's contact information, health clinic, teens counseling, career center, WASL help and student support.

Plans for the second semester of the four-year plan.

Resources to complete the 60 community hours required by the school.

Copies of the documentation released to the school, FERPA, free and reduce lunch, etc.

List of resources from other students and parents.",7700,5975,,Southwest
4491,S07045,Small and Simple Projects Fund,2007,Seattle's Bike In,Northwest Film Forum,"An evening of film, live music, and a community potluck centered on the bicycle including booths about bicycle safety, state bike trails, advocacy for transportation alternatives, and opportunities to donate bikes to a good cause.",5817,5852,,East
4484,S07038,Small and Simple Projects Fund,2007,Squire Park P-patch Fence Replacement Phase 2,Squire Park P-Patch,"The Squire Park P-Patch will use juried entries from the community, including school-age youth  for the design artwork portion of the fence. The award will pay for artist services for design ideas and supplies. The proposed design will reflect a brief glimpse of the  history of the Squire Park neighborhood.",3300,1650,,Central
4948,S08140,Small and Simple Projects Fund,2008,Utsav2008,Ragamala,"To present a festival of the performing arts of India during October at Seattle Center, as a part of the Center's Festal series and at other venues.  A series of workshops will be presented at various schools in the Seattle Metro area to familiarize students with the performing arts of India.",12583,18201,,Downtown
4795,S08028,Small and Simple Projects Fund,2008,Bike Rack Design and Implementation Effort (BiRdie),Urban Sparks,"We propose holding a Ballard-wide bike rack design contest, open to the general public.  Five winners will have their designs built by metal-artists/fabricators in ballard, and then installed by SDOT in visible locations in Ballard.  This project will strengthen community and empower individuals to bring about positive change within Ballard.",9700,12980,,Ballard
4483,S07037,Small and Simple Projects Fund,2007,Daniel Bagley Plaza,Bagley Elementary PTSA,"Bagley Elementary parents and community members will beautify and improve the function of the front entry of the school by holding 3 design charettes, raising community cash match, conducting a competitive selection process and hiring a contractor.  The contractor will remove and dump old concrete, grade and prepare the site, and pour a new concrete entry plaza.  Community members will donate professional services for construction oversight and landscape design.  Community volunteers will hold a work party to prep the site and conduct additional fundraising activities as necessary.  Because the project scope was revised to accommodate greatly increased costs for concrete work, purchase of plants and benches and volunteer activities to install landscaping and benches have been deferred to a future time.",15000,20450,,Northwest
4482,S07036,Small and Simple Projects Fund,2007,Sun Pocket Park,Cascade Land Conservancy,"A landscape architect will be hired to work with the neighborhood to design an open public green space on a newly created and purchased lot of 4,000 sf.  The landscape architect will facilitate community meetings to ensure everyone has input for design of this native plant garden.  Outcomes:  This project will ensure public participation in the design process; neighbors from both sides of Laurelhurst will be united; a piece of nature will be recaptured; and a community gathering space will be developed.",15000,10050,,Northeast
4492,S07046,Race Relations and Social Justice,2007,Rainier Beach Health and Leadership Development Program,Associated Recreation Council,The Ranier Beach Community Empowerment Coalition will sponser a physical fitness and leadership development project for 30 at-risk 12-15-year-old Rainier Beach youth.  The youth will also assist in planning the Rainier Beach Back2School Bash.,10320,9100,,Southeast
4532,S07077,Small and Simple Projects Fund,2007,Denny Middle School Mariachi Program,Friends of Seattle Mariachi,"This project will launch an after-school mariachi program at Denny Middle School as part of a larger effort to strengthen and expand mariachi education opportunities in West Seattle.  The program will lead to increased parental involvement, higher academic success for students, and positive connections between schools and community organizations.",30000,19366,,Delridge
4541,S07086,Small and Simple Projects Fund,2007,Highland Park Earth Support,Highland Park PTSA,"Highland Park families and staff propose to initiate a program which will enhance our community's cultural experiences as they relate to preserving and learning about natural resources.  Over two years, ten educational opportunities will be presented to the community by culturally relevant educators and environmentalists.",30000,16025,,Delridge
4539,S07084,Small and Simple Projects Fund,2007,Concord Elementary Connections,Concord Elementary PTSA,"This project will host community dinners, each having a specific educational theme, presented and supported by various community agencies in collaboration with Concord Elementary School.  Connecting our families, school and agencies will help increase our students' academic achievement.",30000,24720,,Greater Duwamish
4632,S07152,Small and Simple Projects Fund,2007,Chief Sealth Mariachi Suit,Friends of Seattle Mariachi,"The Mariachi Suit Project will outfit the Chief Sealth Mariachi with traditional suits for performances.  The suits are a key component to a larger effort in West Seattle to create a K-12 mariachi education pathway, empowering students to make good decisions about their education and future roles in their community.",15000,8100,,Delridge
4647,S07167,Small and Simple Projects Fund,2007,NESLL renovation of Dahl Playfield - Field #3,Northeast Seattle Little League (NESLL),"Northeast Seattle Little League (NESLL) will renovate ball field #3 at Dahl Playfield with new fencing and dugout improvements.  The plans for this project have already been approved by the community, and a full set of construction documentation has been prepared under the 2003-2007 Friends of Dahl Playfield Project.  Volunteerism and community participation for this effort has evolved as an extension of the broad-based community support established by Friends of Dahl Playfield.   The enhancements to this field will complete the renovation of all 4 fields at Dahl. 

Outcomes:  1) Increased opportunities for healthy recreational activities for children of all ages; 2)  A well used community resource will be updated and made safer, and 3)  Bonds between families and neighbors will be strengthened.",15000,24573,,Northeast
